"FID_","STATEFP10","COUNTYFP10","VTDST10","GEOID10","VTDI10","NAME10","NAMELSAD10","LSAD10","MTFCC10","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10"
,"01","063","5-4-5","010635-4-5","P","Mt. Hebron Pre-School","Mt. Hebron Pre-School","00","G5240","S",113519449.000000,2177335.000000,"+32.8669227","-088.1057436"
,"01","063","4-5-6","010634-5-6","P","Tishabee Rec Center","Tishabee Rec Center","00","G5240","S",157032741.000000,3714844.000000,"+32.6575556","-087.9790473"
,"01","063","5-1-3","010635-1-3","P","Boligee City Hall","Boligee City Hall","00","G5240","S",180302527.000000,3029497.000000,"+32.7616055","-088.0281926"
,"01","063","3-8","010633-8","P","Carver School","Carver School","00","G5240","S",39376626.000000,1788681.000000,"+32.7937720","-087.8585002"
,"01","063","2-8","010632-8","P","South Fork","South Fork","00","G5240","S",84986343.000000,3998048.000000,"+32.8947963","-087.8342274"
,"01","045","1400","010451400","A","Ewell","Ewell","00","G5240","N",91975177.000000,137746.000000,"+31.4194447","-085.5878842"
,"01","045","0101","010450101","A","Ozark Civic Center (Combined 0101, 02, 03 Precincts)","Ozark Civic Center (Combined 0101, 02, 03 Precincts)","00","G5240","N",69370816.000000,178911.000000,"+31.4276333","-085.6390197"
,"01","045","0300","010450300","A","Daleville","Daleville","00","G5240","N",93101695.000000,46399.000000,"+31.3266800","-085.6835665"
,"01","045","0702","010450702","A","Fort Rucker","Fort Rucker","00","G5240","N",117760743.000000,2688825.000000,"+31.4059674","-085.7448074"
,"01","045","1500","010451500","A","Marley Hill","Marley Hill","00","G5240","N",66122997.000000,413858.000000,"+31.4785156","-085.6504604"
,"01","045","1000","010451000","A","Clopton","Clopton","00","G5240","N",63053033.000000,0.000000,"+31.5902525","-085.4629505"
,"01","045","1300","010451300","A","Bertha","Bertha","00","G5240","N",47608280.000000,0.000000,"+31.5233483","-085.4518925"
,"01","045","1100","010451100","A","Skipperville","Skipperville","00","G5240","N",90339285.000000,18387.000000,"+31.5506705","-085.5334822"
,"01","045","0900","010450900","A","Echo","Echo","00","G5240","N",161583283.000000,359115.000000,"+31.4334367","-085.5029824"
,"01","045","0500","010450500","A","Arguta","Arguta","00","G5240","N",46440465.000000,0.000000,"+31.5665108","-085.5994712"
,"01","045","0701","010450701","A","Rocky Head","Rocky Head","00","G5240","N",113661039.000000,68610.000000,"+31.5277844","-085.7398118"
,"01","045","1200","010451200","A","Ariton","Ariton","00","G5240","N",113820773.000000,0.000000,"+31.5726360","-085.6785209"
,"01","029","0020","010290020","A","Oak Level","Oak Level","00","G5240","N",250029682.000000,159181.000000,"+33.8432947","-085.4848648"
,"01","029","0010","010290010","A","Borden Springs","Borden Springs","00","G5240","N",91120634.000000,104525.000000,"+33.9274741","-085.4280271"
,"01","029","0110","010290110","A","Bud Blake's/Guy Cavender's","Bud Blake's/Guy Cavender's","00","G5240","N",74057042.000000,19003.000000,"+33.5260054","-085.5484162"
,"01","029","0100","010290100","A","Beason's Mill","Beason's Mill","00","G5240","N",61701390.000000,110361.000000,"+33.5813439","-085.5190198"
,"01","029","0120","010290120","A","Chulafinnee/Abel","Chulafinnee/Abel","00","G5240","N",222292099.000000,433804.000000,"+33.5341285","-085.7206519"
,"01","029","0060","010290060","A","Heflin Recreation Center Voting District","Heflin Recreation Center Voting District","00","G5240","N",171253136.000000,886122.000000,"+33.6844821","-085.5911299"
,"01","029","0070","010290070","A","Bells Mill","Bells Mill","00","G5240","N",76916732.000000,26584.000000,"+33.5963619","-085.4703792"
,"01","029","0090","010290090","A","Hightower Voting District","Hightower Voting District","00","G5240","N",83628027.000000,0.000000,"+33.5333004","-085.4159543"
,"01","029","0040","010290040","A","Edwardsville City Hall Voting District","Edwardsville City Hall Voting District","00","G5240","N",142713448.000000,183562.000000,"+33.7316285","-085.5297130"
,"01","029","0150","010290150","A","Fruithurst City Hall Voting District","Fruithurst City Hall Voting District","00","G5240","N",66285498.000000,34076.000000,"+33.7163449","-085.4621890"
,"01","029","0030","010290030","A","Muscadine","Muscadine","00","G5240","N",48174794.000000,52577.000000,"+33.7403655","-085.3765854"
,"01","029","0080","010290080","A","Hopewell Voting District","Hopewell Voting District","00","G5240","N",83592205.000000,0.000000,"+33.6249108","-085.3844896"
,"01","029","0140","010290140","A","Ranburne Fire Dept. Voting District","Ranburne Fire Dept. Voting District","00","G5240","N",53165755.000000,345102.000000,"+33.5416718","-085.3436150"
,"01","029","0050","010290050","A","Plainview Fire Department Voting District","Plainview Fire Department Voting District","00","G5240","N",25733044.000000,0.000000,"+33.6725609","-085.3985519"
,"01","045","0400","010450400","A","Newton","Newton","00","G5240","N",77673384.000000,28981.000000,"+31.3078437","-085.6170981"
,"01","045","0200","010450200","A","Clayhatchee","Clayhatchee","00","G5240","N",76400307.000000,0.000000,"+31.2324179","-085.7382114"
,"01","045","1600","010451600","A","Level Plains","Level Plains","00","G5240","N",44073925.000000,0.000000,"+31.3065927","-085.7670997"
,"01","045","0600","010450600","A","Pinckard","Pinckard","00","G5240","N",73824354.000000,38902.000000,"+31.3032351","-085.5368182"
,"01","045","0801","010450801","A","Midland City","Midland City","00","G5240","N",28749619.000000,0.000000,"+31.3139343","-085.4958578"
,"01","045","0802","010450802","A","Grimes","Grimes","00","G5240","N",41147837.000000,14144.000000,"+31.3147105","-085.4447130"
,"01","045","0803","010450803","A","Sylvan Grove","Sylvan Grove","00","G5240","N",36664188.000000,22579.000000,"+31.3721737","-085.4604882"
,"01","063","2-1-2","010632-1-2","P","Law Library","Law Library","00","G5240","S",3281916.000000,1446.000000,"+32.8389528","-087.8752058"
,"01","063","4-1-2","010634-1-2","P","Eutaw Activity center","Eutaw Activity center","00","G5240","S",55593764.000000,572434.000000,"+32.7798776","-087.9366363"
,"01","063","2-3-4","010632-3-4","P","Eutaw Pre-School","Eutaw Pre-School","00","G5240","S",98221560.000000,753457.000000,"+32.8856825","-087.9710134"
,"01","063","4-3-4B","010634-3-4B","P","Morrow Brown Rec Center-Sanders-Black","Morrow Brown Rec Center-Sanders-Black","00","G5240","S",187564.000000,0.000000,"+32.8209954","-087.8979289"
,"01","063","3-7","010633-7","P","Dollarhide Rec Center","Dollarhide Rec Center","00","G5240","S",58202974.000000,1637345.000000,"+32.7343391","-087.8656695"
,"01","091","0101","010910101","P","Civic Center","Civic Center","00","G5240","S",8120967.000000,1284764.000000,"+32.5298318","-087.8324500"
,"01","091","0201","010910201","P","Westside School","Westside School","00","G5240","S",40976333.000000,1536041.000000,"+32.4969673","-087.9155310"
,"01","091","0102","010910102","P","National Guard Armory","National Guard Armory","00","G5240","S",34504015.000000,1410330.000000,"+32.5038292","-087.7726151"
,"01","091","0204","010910204","P","Springhill Voting Booth","Springhill Voting Booth","00","G5240","S",32221864.000000,18819.000000,"+32.4571408","-087.7504401"
,"01","091","0202","010910202","P","Demopolis High School","Demopolis High School","00","G5240","S",77878856.000000,127050.000000,"+32.4542163","-087.8595063"
,"01","091","0501","010910501","A","Jefferson","Jefferson","00","G5240","N",223875052.000000,3534468.000000,"+32.3772828","-087.9685628"
,"01","091","0306","010910306","P","Rangeline","Rangeline","00","G5240","S",64481800.000000,39440.000000,"+32.3888479","-087.8304981"
